"OTU.ID","Query.length","Hit_id","Hit_def","Hit_len","Hsp_evalue","Hsp_identity","Hsp.length","identity_percent","Query.cover"
"OTU4",436,"gi|1132312029|dbj|LC191848.1|","Euphorbia maculata genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: HIRO:HIRO-MY-120087",924,0,428,436,98.16513761,100
"OTU4",436,"gi|1132312026|dbj|LC191845.1|","Euphorbia maculata genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: HIRO:HIRO-MY-82428",924,0,428,436,98.16513761,100
"OTU4",436,"gi|1132312025|dbj|LC191844.1|","Euphorbia maculata genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: HIRO:HIRO-MY-119754",924,0,428,436,98.16513761,100
"OTU4",436,"gi|1132312024|dbj|LC191843.1|","Euphorbia maculata genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: HIRO:HIRO-MY-119753",784,0,428,436,98.16513761,100
"OTU4",436,"gi|332294247|gb|JF421496.1|","Euphorbia maculata voucher PS0170MT01 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence",436,0,428,436,98.16513761,100
"OTU4",436,"gi|529104111|gb|KC441021.1|","Euphorbia hirta voucher YC0926001MT01 internal transcribed spacer 2, partial sequence",481,2.67e-170,398,436,91.28440367,100
"OTU4",436,"gi|485599646|gb|KC533835.1|","Wendlandia tinctoria voucher SP0127MT02 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",434,2.67e-170,398,436,91.28440367,100
"OTU4",436,"gi|1132312027|dbj|LC191846.1|","Euphorbia sp. Arechi-nishikiso genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: HIRO:HIRO-MY-82427",923,2.05e-165,396,437,90.61784897,100.2293578
"OTU4",436,"gi|1132312030|dbj|LC191849.1|","Euphorbia sp. Arechi-nishikiso genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: HIRO:HIRO-MY-119791",923,2.5e-164,395,437,90.38901602,100.2293578
"OTU4",436,"gi|345742293|gb|HQ645261.1|","Euphorbia dallachyana voucher Halford, D. Q8109 (BRI) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",720,8.71e-164,334,340,98.23529412,77.98165138
"OTU4",436,"gi|1132312028|dbj|LC191847.1|","Euphorbia prostrata genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: HIRO:HIRO-MY-119785",923,1.06e-162,394,437,90.16018307,100.2293578
"OTU4",436,"gi|507144979|gb|KC758670.1|","Euphorbia humifusa voucher npccDNA19 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",715,1.29e-161,330,336,98.21428571,77.06422018
"OTU4",436,"gi|345742305|gb|HQ645273.1|","Euphorbia glyptosperma voucher Yang, Y. 35 (MICH) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",722,4.51e-161,332,340,97.64705882,77.98165138
"OTU4",436,"gi|345742329|gb|HQ645297.1|","Euphorbia meganaesos voucher Neyland, R. 1092 (LSU) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",720,1.58e-160,331,339,97.64011799,77.75229358
"OTU4",436,"gi|345742380|gb|HQ645348.1|","Euphorbia sp. Booth 3536 voucher Booth, R. 3536 (BRI) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",720,1.92e-159,331,340,97.35294118,77.98165138
